dataset_id,item_id,mode,correct,invalid_format,latency_ms,confidence
gsm8k,gsm8k_811,standard,0,0,3985,1.0
gsm8k,gsm8k_35,baseline,0,0,4389,1.0
gsm8k,gsm8k_35,improved,0,0,10202,0.3333333333333333
gsm8k,gsm8k_35,standard,0,0,15412,1.0
gsm8k,gsm8k_892,baseline,0,0,785,1.0
gsm8k,gsm8k_892,improved,0,0,1151,0.6666666666666666
gsm8k,gsm8k_892,standard,0,0,4339,1.0
gsm8k,gsm8k_314,baseline,0,0,813,1.0
gsm8k,gsm8k_314,improved,0,0,3242,0.3333333333333333
gsm8k,gsm8k_314,standard,0,0,6727,1.0
gsm8k,gsm8k_2,baseline,0,0,1025,1.0
gsm8k,gsm8k_2,improved,0,0,2770,0.6666666666666666
gsm8k,gsm8k_2,standard,0,0,6092,1.0
gsm8k,gsm8k_944,baseline,0,0,2492,1.0
gsm8k,gsm8k_944,improved,0,0,6303,0.3333333333333333
gsm8k,gsm8k_944,standard,0,0,11356,1.0
gsm8k,gsm8k_687,baseline,0,0,3696,1.0
gsm8k,gsm8k_687,improved,0,0,11889,0.3333333333333333
gsm8k,gsm8k_687,standard,0,0,16129,1.0
gsm8k,gsm8k_1184,baseline,0,0,819,1.0
gsm8k,gsm8k_1184,improved,0,0,1300,1.0
gsm8k,gsm8k_1184,standard,0,0,4886,1.0
gsm8k,gsm8k_297,baseline,0,0,1721,1.0
gsm8k,gsm8k_297,improved,0,0,2762,0.6666666666666666
gsm8k,gsm8k_297,standard,0,0,6093,1.0
gsm8k,gsm8k_1068,baseline,0,0,801,1.0
gsm8k,gsm8k_1068,improved,1,0,3864,0.3333333333333333
gsm8k,gsm8k_1068,standard,1,0,7526,1.0
gsm8k,gsm8k_792,baseline,0,0,932,1.0
gsm8k,gsm8k_792,improved,0,0,1322,0.3333333333333333
gsm8k,gsm8k_792,standard,0,0,6464,1.0
gsm8k,gsm8k_932,baseline,0,0,923,1.0
gsm8k,gsm8k_932,improved,0,0,2483,0.3333333333333333
gsm8k,gsm8k_932,standard,0,0,5799,1.0
gsm8k,gsm8k_405,baseline,0,0,3527,1.0
gsm8k,gsm8k_405,improved,0,0,7875,0.3333333333333333
gsm8k,gsm8k_405,standard,0,0,11691,1.0
gsm8k,gsm8k_863,baseline,0,0,784,1.0
gsm8k,gsm8k_863,improved,0,0,1156,1.0
gsm8k,gsm8k_863,standard,0,0,4783,1.0
gsm8k,gsm8k_953,baseline,0,0,2799,1.0
gsm8k,gsm8k_953,improved,0,0,6274,0.3333333333333333
gsm8k,gsm8k_953,standard,0,0,9959,1.0
gsm8k,gsm8k_49,baseline,0,0,1297,1.0
gsm8k,gsm8k_49,improved,0,0,3410,0.6666666666666666
gsm8k,gsm8k_49,standard,0,0,6699,0.5
gsm8k,gsm8k_474,baseline,1,0,785,1.0
gsm8k,gsm8k_474,improved,1,0,1119,1.0
gsm8k,gsm8k_474,standard,1,0,4542,1.0
